date,relL_max,relP_max,L_hits,slot_frac,eps,is_emergency_day,P_hits
2025-02-25,0.09334436547640687,120750000.0,0,0.0,0.08920012812208797,False,0
2025-02-26,0.07436052728662314,143475000.0,0,0.0,0.2834217989687809,True,0
2025-02-27,0.09405331741857373,25210700.0,0,0.0,0.2193899306761707,True,0
2025-02-28,0.12422194450174137,37110100.00000001,0,0.0,-0.5804181142461216,False,0
2025-03-01,0.18061949680097766,38594900.00000001,0,0.0,-0.6248166477265109,False,0
2025-03-02,0.12569877797163947,46116300.00000001,0,0.0,0.19376409344645176,False,0
2025-03-03,0.15565778962666396,3166400.0,0,0.0,0.09322117274351219,False,0
2025-03-04,0.09603846540892831,1300.0,0,0.0,0.22049820852699736,True,0
2025-03-05,0.13986525720467402,1500.0,0,0.0,0.10137717341329969,False,0
2025-03-06,0.1171661044113755,1700.0,0,0.0,0.1938215667857956,False,0
2025-03-07,0.2430148593914916,1500.0,0,0.0,-0.6544168740582904,False,0
2025-03-08,0.1976566944179921,1400.0,0,0.0,-0.6295946849988588,False,0
2025-03-09,0.12337797754132178,1100.0000000000002,0,0.0,0.14158370499341397,False,0
2025-03-10,0.12029080763692766,11398600.0,0,0.0,0.22685265164283064,True,0
2025-03-11,0.1169401344015748,22253700.0,0,0.0,0.3734260351021885,True,0
2025-03-12,0.10482058226374488,40291700.0,0,0.0,0.11989689142783884,False,0
2025-03-13,0.09493709463020417,51853300.0,0,0.0,0.20968026823303335,True,0
2025-03-14,0.17176524431843532,73940100.0,0,0.0,-0.6665881118402975,False,0
2025-03-15,0.1614878825440817,87187900.0,0,0.0,-0.5969763991791697,False,0
2025-03-16,0.10195772049020338,86611400.0,0,0.0,0.2922575717545861,True,0
2025-03-17,0.08794434434339898,122419600.00000001,0,0.0,0.19956460397294837,False,0
2025-03-18,0.10075811881389021,4424600.0,0,0.0,0.08085641286462064,False,0
2025-03-19,0.09048751630945301,416299.99999999994,0,0.0,0.37762914745698106,True,0
2025-03-20,0.08311655114937906,2100.0,0,0.0,0.21107325434240007,True,0
2025-03-21,0.1190277306464104,2300.0,0,0.0,-0.7545619933903424,False,0
2025-03-22,0.09915414409088243,2700.0000000000005,0,0.0,-0.6761584418440133,False,0
2025-03-23,0.0633161165740212,13237500.0,0,0.0,0.17493633794504404,False,0
