date,costA,QA,costC,costB,cons_err
2025-04-17,49011.71196908829,6887.83312612551,59232.589143456666,54847.094861355,0.029588695410696114
2025-04-18,27252.568226230003,0.0,35290.00674562334,52735.34784007,12.761739347465985
2025-04-19,25647.174745469998,0.0,34730.932003805,89354.56825653001,11.376553757773065
2025-04-20,50997.80989667874,8420.072065106986,59199.41012149583,159725.59071029502,0.030583696207603466
2025-04-21,42355.0526537915,4162.117249666663,57545.94420304333,64327.066874950004,0.11162352582695564
2025-04-22,48042.80720292801,7058.158446467069,58064.14806876416,104114.40634422,0.02911787826993795
2025-04-23,48279.69072073629,7901.697712458841,56845.78214310249,175860.153323485,0.02856756928401333
2025-04-24,41606.57347702571,4084.133476092586,56634.39626238833,51151.567262425,0.0872385076529095
2025-04-25,26627.57591648,0.0,34473.874496735,50665.820721365,43.54295240622727
2025-04-26,24984.073079839996,0.0,34050.63194077417,76204.893710035,1233.735787077283
2025-04-27,48351.90103200628,6659.8207804732465,58197.991966675,169632.20107877502,0.05442190469711291
2025-04-28,52191.40311527613,7860.476900172837,59759.478411536664,59342.27037318001,0.02807909578731004
2025-04-29,41540.94622586433,4019.3270081666656,55829.542919426654,145917.39702062498,0.03961441081883483
2025-04-30,41518.238475344246,4729.293312477365,54910.61200667916,265994.464029335,0.027363620519553447
2025-05-01,57637.976373827005,8012.162947164606,62004.85636539916,83278.654291185,0.08627722001943283
2025-05-02,30078.59536901,0.0,39208.141448805,60685.7303864,5.274506755204783
2025-05-03,26045.13165717,0.0,37098.11157918583,92329.02274990501,8.154527481985467
2025-05-04,57062.05136410057,8634.281047417695,58787.67815161667,294605.03416119,0.024523413494036875
2025-05-05,53090.31577872462,6375.0439520823,62804.22536926416,55455.772784425004,0.028428770051551727
2025-05-06,56572.12682070239,9143.007294849787,61791.84304107999,210730.28840196,0.029490250296728315
2025-05-07,58056.85303685194,9024.759344493817,62091.96914356583,173470.100568175,0.02701455904776283
2025-05-08,57942.977491756836,8953.569019355962,60774.573671378326,55772.456895314994,0.025627305044026487
2025-05-09,29783.310014100003,0.0,38165.14154536833,56129.309625405,10.102685431912219
2025-05-10,27042.37826934,0.0,36746.472509475,85185.38290699,5.757965607052806
2025-05-11,66053.37109194622,13055.430496899175,60270.34578452166,338258.91567472497,0.02508386243645861
2025-05-12,50908.29749484604,7396.958739512346,56670.038395092495,246579.66948727504,0.023138068056570326
2025-05-13,47147.984592120825,5449.651071707809,59137.52128948083,56265.597180355,0.026937712828964892
2025-05-14,47273.91429939998,5874.842085485589,58381.6778526075,114333.381496955,0.025618265286106563
2025-05-15,43535.881259888825,4353.365921847737,58736.42344429666,56579.22594397499,0.026790170968084493
2025-05-16,28717.85007372,0.0,36215.09430712083,52811.41801647001,32.9088989142987
2025-05-17,28115.685289380002,0.0,36722.863560926664,92317.768120995,7.0838066681798
2025-05-18,50169.85506481953,7567.59521848971,58784.53547760499,84859.61708687499,0.02679905318009533
2025-05-19,40684.78555911078,3682.9884596851816,56523.822903801665,207757.92409885,0.07961484406271882
2025-05-20,53669.87730530006,9259.250842598765,57997.35733299916,145175.35048108,0.02565274164016478
2025-05-21,47359.569699532345,6306.5642147325,57227.54207288333,294369.43562955,0.024562604308870424
2025-05-22,41800.07846086228,4078.0909827798246,56889.18401838916,62941.565539785,0.026642354395993193
2025-05-23,27665.82423977,0.0,35809.755112255836,57931.1635601,12.478015559476958
2025-05-24,26656.99243506,0.0,35218.84591320834,65128.880493824996,21.8006247004774
2025-05-25,45027.34706727357,5023.397986833328,56465.565709970826,242692.22472041,0.02590895048224361
2025-05-26,52486.536935724,9121.786484979415,57975.51100282416,174039.076852675,0.025838232010039108
2025-05-27,42892.212905918655,4623.509245273657,56184.26755646333,298149.9043347,0.025483279816467957
2025-05-28,46030.81917680445,6180.747896102879,57871.26512454916,91750.20182948999,0.02723818623102451
2025-05-29,52661.466174951434,8700.488740041143,59361.287532653325,133261.54228119,0.028049165199264654
2025-05-30,29272.88470683,0.0,36812.09102628917,55479.62087226,12.91838658481042
2025-05-31,29567.88615054,0.0,37141.08349267,145327.17219681502,9.799493873693407
